Kuupaev,temperatuur,niiskus,valgus,pNiiskus,taimeKorgus
2019-05-09 21:04:21,25.4,25.7,102,825,2
2019-05-09 21:34:32,25,26.6,23,829,3
2019-05-09 22:04:43,24.6,26.6,1,835,-1
2019-05-09 22:34:54,24.2,27.2,1,843,-3093
2019-05-09 23:05:05,23.8,27.7,1,846,-3115
2019-05-09 23:35:17,23.5,27.8,1,826,-3121
2019-05-10 00:05:28,23.3,28.1,1,834,-3103
2019-05-10 00:35:39,23.1,28.4,1,833,-640
2019-05-10 01:05:50,22.8,28.8,1,840,-3086
2019-05-10 01:36:02,22.6,29.1,1,841,-3073
2019-05-10 02:06:13,22.6,29,1,842,-3099
2019-05-10 02:36:24,22.4,29.1,1,847,19
2019-05-10 03:06:35,22.4,29.2,1,847,-3108
2019-05-10 04:06:57,22.2,29.5,1,849,18
2019-05-10 04:37:08,22.1,29.4,4,859,18
2019-05-10 05:07:19,22.1,29.5,33,856,-3097
2019-05-10 05:37:30,22.1,29.5,145,849,3
2019-05-10 06:07:41,22.1,29.4,339,857,17
2019-05-10 06:37:52,22.2,29.4,442,858,17
2019-05-10 07:08:03,22.4,29,759,854,17
2019-05-10 07:38:15,22.6,28.6,903,853,16
2019-05-10 08:08:25,23,28.5,1604,843,8
2019-05-10 08:38:37,23.6,27.5,1041,845,9
2019-05-10 09:08:47,24.1,27.1,1729,856,7
2019-05-10 09:38:58,24.3,27,2226,861,6
2019-05-10 10:09:09,24.8,26.7,2229,865,-1
2019-05-10 10:39:20,24.8,27.9,1283,867,0
2019-05-10 11:09:31,24.8,28.8,1377,881,2
2019-05-10 11:39:42,24.9,29.1,2084,871,4
2019-05-10 14:10:37,24.5,31.7,1211,855,5
2019-05-10 14:40:48,24.6,32.7,1696,861,3
2019-05-10 15:10:59,24.6,33.6,1601,866,-3096
2019-05-10 15:41:10,24.9,34.3,1173,860,8
2019-05-10 16:11:22,24.5,35.5,435,867,-3112
2019-05-10 16:41:33,24.3,36.7,426,865,0
2019-05-10 17:11:44,24.1,37.7,526,874,-3078
2019-05-10 17:41:55,23.9,38.6,539,869,6
2019-05-10 18:42:22,23.7,39.8,591,874,7
2019-05-10 19:12:33,23.7,40,214,874,6
2019-05-10 19:42:44,23.4,41,112,876,3
2019-05-10 20:12:55,23.3,41.3,129,879,1
2019-05-10 20:43:07,23.1,42.1,49,888,0
2019-05-10 21:13:18,22.9,42.4,31,890,-1
2019-05-10 21:43:29,22.8,42.7,9,885,0
2019-05-10 22:13:40,22.7,42.9,2,888,-1
2019-05-10 22:43:51,22.6,43.3,1,885,20
2019-05-10 23:14:03,22.5,43.6,1,884,19
2019-05-10 23:44:14,22.4,44,1,890,4
2019-05-11 00:14:25,22.3,44.1,1,895,6
2019-05-11 00:44:36,22.3,44.2,1,896,0
2019-05-11 01:14:47,22.2,44.1,1,909,19
2019-05-11 01:44:59,22.2,44.3,1,915,21
2019-05-11 02:15:10,22.1,44.1,1,909,8
2019-05-11 02:45:21,22.1,44.1,1,900,6
2019-05-11 03:15:32,22,44.1,1,905,6
2019-05-11 03:45:44,22.1,44.2,1,895,5
2019-05-11 04:15:55,22.1,44.2,1,903,3
2019-05-11 04:46:06,22,44.5,10,902,5
2019-05-11 05:46:33,22.1,44.5,201,900,5
2019-05-11 06:16:44,22.1,44.4,342,903,6
2019-05-11 06:46:56,22.2,44.3,579,914,6
2019-05-11 07:17:07,22.3,43.8,787,907,6
2019-05-11 07:47:22,22.6,43.4,613,913,7
